Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
RobotBody,0.0121977788254711,-0.00110703074433194,0.071707196657291,0,0,0,7.51206590551424,0.0769908374105067,1.19967632414152E-06,0.000670786314709633,0.110330604583865,-1.93687741098257E-05,0.163724208451728,0,0,0,0,0,0,package://DeliveryRobot_2.0(URDF)/meshes/RobotBody.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DeliveryRobot_2.0(URDF)/meshes/RobotBody.STL,,RobotBody-1,RobotBody_CS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RL_Wheel,-1.34406336005366E-07,3.9905593718359E-08,-0.0118200674161195,0,0,0,0.140237419679539,2.72055362006342E-05,2.75400221469168E-10,6.23456199572729E-12,2.72070295245423E-05,-3.34657496971275E-11,2.87493686781454E-05,0,0,0,0,0,0,package://DeliveryRobot_2.0(URDF)/meshes/RL_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DeliveryRobot_2.0(URDF)/meshes/RL_Wheel.STL,,LeftWheel-1,RL_CS,RL_Axis,RL_Joint,continuous,-0.1975,-0.23596,-0.025,1.5708,0,0,RobotBody,0,0,-1,2,2,,,,,,,,,,
RR_Wheel,-1.0095125037024E-06,2.69893383642028E-07,0.0117631801590439,0,0,0,0.140242768860157,2.72082470884897E-05,-1.21453746959876E-10,8.30766496609559E-11,2.72087892197053E-05,1.8654404533443E-10,2.87540011754137E-05,0,0,0,0,0,0,package://DeliveryRobot_2.0(URDF)/meshes/RR_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DeliveryRobot_2.0(URDF)/meshes/RR_Wheel.STL,,RightWheel-1,RR_CS,RR_Axis,RR_Joint,continuous,-0.1975,0.23634,-0.025,1.5708,0,0,RobotBody,0,0,1,2,2,,,,,,,,,,
FR_Wheel,2.18173434318736E-07,5.63112906304397E-08,0.0118200697311706,0,0,0,0.140237535352243,2.72059827875639E-05,-7.1461410674323E-10,7.14665581005552E-12,2.72066213673703E-05,-2.47020649852739E-11,2.87493760574907E-05,0,0,0,0,0,0,package://DeliveryRobot_2.0(URDF)/meshes/FR_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DeliveryRobot_2.0(URDF)/meshes/FR_Wheel.STL,,LeftWheel-2,FR_CS,FR_Axis,FR_Joint,continuous,0.1975,0.23634,-0.025,1.5708,0,0,RobotBody,0,0,1,2,2,,,,,,,,,,
FL_Wheel,1.06228346097303E-06,-1.6122280410702E-07,-0.0117631557797424,0,0,0,0.140242689275222,2.72084404907458E-05,2.88916204886195E-10,-2.2806907450469E-11,2.72085403616973E-05,-2.07964704173423E-10,2.87539407631995E-05,0,0,0,0,0,0,package://DeliveryRobot_2.0(URDF)/meshes/FL_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DeliveryRobot_2.0(URDF)/meshes/FL_Wheel.STL,,RightWheel-2,FL_CS,FL_Axis,FL_Joint,continuous,0.1975,-0.23596,-0.025,1.5708,0,0,RobotBody,0,0,-1,2,2,,,,,,,,,,
Lid,-0.0137914821400988,-0.0181458602319533,-0.0280728578180717,0,0,0,0.328922397150776,0.00404537572099659,2.10933622848677E-09,-2.63417294301499E-10,0.00190327681198023,-1.02868108120959E-06,0.002246887155159,0,0,0,0,0,0,package://DeliveryRobot_2.0(URDF)/meshes/Lid.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DeliveryRobot_2.0(URDF)/meshes/Lid.STL,,Lid-1,Lid_CS,Lid_Axis,Lid_Joint,prismatic,0.0013003,0.0011755,0.211,3.1416,-1.5708,0,RobotBody,0,0,-1,2,2,0,0.18,,,,,,,,
